"","lon","lat","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"876",-2.748876,52.707797,"Diplodia syringae",8.8,68,34,4613,194,-3,197,37,55,148,29,707,70,46,13,203,145,173,179
"877",1.453985,52.412486,"Diplodia taxi",9.7,65,32,4696,203,5,198,76,59,157,39,610,64,39,15,180,123,159,150
"878",-96.752538,39.002358,"Diplodia graminis",12.2,127,30,9951,324,-87,411,223,-11,247,-11,846,137,19,52,350,70,323,70
"882",-81.695409,41.499495,"Diplodia sophorae",10,105,29,9092,283,-76,359,191,-11,213,-21,929,91,53,15,266,184,266,186
"883",-80.068102,46.983122,"Diplodia thujana",3.2,108,24,11358,243,-200,443,159,-53,170,-122,858,97,50,20,267,163,256,174
"884",-80.247917,47.198978,"Diplodia pyrenophora",2.7,113,25,11487,242,-210,452,154,-58,167,-129,843,95,49,20,263,160,255,167
"886",141.06636,39.65133,"Diplodia mori",8.2,89,25,9117,262,-82,344,198,-29,198,-33,1474,189,76,30,540,260,540,269
"888",-79.426346,43.950007,"Diplodia sambucina",6.7,96,25,9670,259,-113,372,179,-53,187,-61,808,84,51,14,235,165,234,180
"890",-80.56343,43.0447799990589,"Diplodia maclurae",7.4,101,27,9377,266,-100,366,182,-42,191,-50,929,91,58,12,254,198,249,206
"891",-80.523333,43.050556,"Diplodia maclurae",7.4,100,27,9392,267,-99,366,183,-41,192,-49,930,90,59,11,253,200,247,208
"892",-90.441002,45.933998,"Diplodia tumefaciens",4.5,115,26,11035,256,-182,438,166,-107,179,-107,830,111,22,43,315,91,312,91
"893",-95.222956,47.188635,"Diplodia tumefaciens",3.4,130,26,12073,262,-221,483,180,-132,180,-132,668,108,14,55,294,57,294,57
"896",-80.068102,46.983122,"Diplodia herbarum",3.2,108,24,11358,243,-200,443,159,-53,170,-122,858,97,50,20,267,163,256,174
"897",-80.087328,46.955447,"Diplodia pyrenophora",3.2,108,24,11308,243,-198,441,158,-52,170,-121,859,97,50,19,266,164,254,174
"898",-0.086592,42.025629,"Diplodia interrogativa",12.3,104,38,5775,273,2,271,146,51,199,51,467,59,24,24,146,89,103,89
"899",-4,40,"Diplodia melaena",14.9,111,35,6849,330,17,313,105,241,241,65,388,44,8,37,128,43,43,109
"900",-0.086592,42.025629,"Diplodia ampelina",12.3,104,38,5775,273,2,271,146,51,199,51,467,59,24,24,146,89,103,89
"909",18,59,"Diplodia pyrenophora",7.1,62,23,7083,219,-44,263,156,11,167,-14,495,58,24,28,167,79,154,110
"911",-98.859806,38.895289,"Diplodia pseudodiplodia",12.2,141,33,10008,336,-91,427,224,-9,250,-9,641,93,13,53,270,50,255,50
"918",19,47.5,"Diplodia maclurae",11,87,28,7753,271,-33,304,191,24,206,7,562,68,32,23,180,103,173,117
"919",20,47,"Diplodia maclurae",10.7,97,30,7813,272,-44,316,188,20,202,2,523,69,28,27,179,90,169,105
"921",10.5,51.5,"Diplodia ceanothi",7.8,81,32,6275,214,-35,249,158,5,158,-3,699,82,46,18,223,143,223,152
"930",-1.786261,51.293935,"Diplodia salicina",9.3,75,35,4747,210,0,210,44,57,156,34,733,79,46,17,229,155,162,203
"931",-92.30968,38.990615,"Diplodia juglandis",12.3,118,30,9593,316,-77,393,220,-7,242,-7,977,122,37,31,329,134,296,134
"934",-0.510285,50.835017,"Diplodia laurina",10.1,80,37,4764,219,6,213,74,148,163,41,742,81,47,20,234,149,154,200
"935",141.06636,39.65133,"Diplodia hoveniae",8.2,89,25,9117,262,-82,344,198,-29,198,-33,1474,189,76,30,540,260,540,269
"936",141.06636,39.65133,"Diplodia togashiana",8.2,89,25,9117,262,-82,344,198,-29,198,-33,1474,189,76,30,540,260,540,269
"947",138.65245,35.14922,"Diplodia oryzae",15.8,92,30,7116,305,4,301,252,68,252,68,2015,271,62,41,716,221,716,221
"950",14.708445,52.61814,"Diplodia indigoferae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"952",-92.30968,38.990615,"Diplodia zeae",12.3,118,30,9593,316,-77,393,220,-7,242,-7,977,122,37,31,329,134,296,134
"954",-96.571669,39.183608,"Diplodia zeae",12.2,132,31,10018,329,-92,421,224,-12,248,-12,857,136,20,51,354,69,325,69
"957",172.77904,-41.795833,"Diplodia salicina",8,85,45,3562,178,-10,188,75,124,124,32,1720,174,95,14,489,346,346,436
"960",-121.696279,37.232484,"Diplodia maculata",14.7,148,51,4827,310,24,286,88,208,210,88,586,120,2,89,311,8,13,311
"963",-89.332328,42.014751,"Diplodia sambuci",8.6,115,28,10356,286,-123,409,212,-56,212,-56,913,112,31,34,316,117,316,117
"967",-110.4967,44.72,"Diplodia heteromelina",-0.5,155,38,8497,216,-186,402,78,65,105,-112,601,65,38,15,171,133,159,156
"968",-82.410278,28.510278,"Diplodia pyrenophora",21.5,124,50,4629,326,80,246,269,191,269,152,1386,218,56,49,599,182,599,235
"970",-98.948162,46.301914,"Diplodia abrotani",4.8,131,27,12046,287,-191,478,172,-115,197,-115,480,88,11,61,219,34,210,34
"975",175.15606,-37.737123,"Diplodia crataegi",14.2,92,48,3280,240,49,191,99,184,184,99,1337,141,81,16,411,268,268,411
"976",14.071368,50.916255,"Diplodia melaena",7.6,75,28,6869,217,-45,262,163,-3,163,-13,606,79,32,29,219,105,219,111
"984",-4,40,"Diplodia hypericina",14.9,111,35,6849,330,17,313,105,241,241,65,388,44,8,37,128,43,43,109
"999",-83.75333,42.42682,"Diplodia melaena",8.6,104,27,9639,278,-96,374,206,-29,206,-43,796,86,42,21,241,144,241,145
"1004",14.708445,52.61814,"Diplodia lantanae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
